snapshot-date	sku	fnsku	asin	product-name	condition	sales-rank	product-group	total-quantity	sellable-quantity	unsellable-quantity	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	units-shipped-last-24-hrs	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-90-days	units-shipped-last-180-days	units-shipped-last-365-days	weeks-of-cover-t7	weeks-of-cover-t30	weeks-of-cover-t90	weeks-of-cover-t180	weeks-of-cover-t365	num-afn-new-sellers	num-afn-used-sellers	currency	your-price	sales-price	lowest-afn-new-price	lowest-afn-used-price	lowest-mfn-new-price	lowest-mfn-used-price	qty-to-be-charged-ltsf-12-mo	qty-in-long-term-storage-program	qty-with-removals-in-progress	projected-ltsf-12-mo	per-unit-volume	is-hazmat	in-bound-quantity	asin-limit	inbound-recommend-quantity	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo
2020-08-15T00:00:00-07:00	CP_August06-006	X002LXF34X	1464126119	Lehninger Principles of Biochemistry	No Listing	2429	gl_book	1	1	0	1	0	0	0	0	2	2	2	2	2	2	3.0	12.0	39.0	78.0	156.0	1	5	USD	0.00	0.00	270.35	228.71	266.04	213.98	0	0		0.00	0.100833	N	5	0	0	0	0.00
2020-08-15T00:00:00-07:00	CP_July25-004	X002LI1OLJ	1285741552	Calculus: Early Transcendentals	Used	1713	gl_book	2	2	0	2	0	0	0	0	0	0	0	0	0	0	Infinite	Infinite	Infinite	Infinite	Infinite	2	11	USD	169.99	169.99	182.98	167.77	0.00	95.86	0	0		0.00	0.11446	N	0	0	0	0	0.00
2020-08-15T00:00:00-07:00	CP_July25-006	X002LHXEJ5	0134243064	Biological Science, Books a la Carte Edition (6th Edition)	Used	27684	gl_book	1	1	0	1	0	0	0	0	0	0	0	0	0	0	Infinite	Infinite	Infinite	Infinite	Infinite	0	21	USD	79.99	79.99	0.00	45.80	133.98	34.26	0	0		0.00	0.146412	N	0	0	0	0	0.00
2020-08-15T00:00:00-07:00	CP_July25-003	X002LHSA03	0393680363	Essential Cell Biology (Fifth Edition)	Used	7275	gl_book	3	3	0	3	0	0	0	0	0	0	0	0	0	0	Infinite	Infinite	Infinite	Infinite	Infinite	5	16	USD	149.99	149.99	162.62	115.98	158.99	104.33	0	0		0.00	0.06513	N	0	0	0	0	0.00
2020-08-15T00:00:00-07:00	CP_July25-002	X002LHS9H7	1305077695	Those Who Can, Teach	Used	5205	gl_book	3	3	0	3	0	0	0	0	0	0	0	0	0	0	Infinite	Infinite	Infinite	Infinite	Infinite	2	10	USD	89.99	89.99	88.19	79.05	82.18	74.79	0	0		0.00	0.042575	N	0	0	0	0	0.00
2020-08-15T00:00:00-07:00	nar_july14-001	X002L2F1MN	146413538X	Quantitative Chemical Analysis	Used	5702	gl_book	3	3	0	3	0	0	0	0	0	0	0	0	0	0	Infinite	Infinite	Infinite	Infinite	Infinite	3	11	USD	129.99	129.99	197.73	120.21	0.00	92.29	0	0		0.00	0.095622	N	0	0	0	0	0.00
2020-08-15T00:00:00-07:00	nar_july14-003	X002L2EFTD	1319013384	Introduction to the Practice of Statistics	Used	22324	gl_book	8	8	0	8	0	0	0	0	0	0	0	0	0	0	Infinite	Infinite	Infinite	Infinite	Infinite	1	10	USD	139.99	139.99	154.42	129.77	150.60	128.97	0	0		0.00	0.05584	N	0	0	0	0	0.00
2020-08-15T00:00:00-07:00	nar_july14-002	X002L2EF0R	1319050735	Calculus	Used	75988	gl_book	3	3	0	3	0	0	0	0	0	3	3	3	3	3	1.0	4.0	13.0	26.0	52.0	1	5	USD	119.99	119.99	215.99	119.99	139.94	119.97	0	0		0.00	0.093982	N	0	0	0	0	0.00
2020-08-15T00:00:00-07:00	nar_july14-005	X002L2CLPN	0321976495	Biological Science (6th Edition)	Used	21848	gl_book	2	2	0	2	0	0	0	0	0	0	0	0	0	0	Infinite	Infinite	Infinite	Infinite	Infinite	0	14	USD	149.99	149.99	0.00	109.77	0.00	42.49	0	0		0.00	0.119219	N	0	0	0	0	0.00
2020-08-15T00:00:00-07:00	Christine-John-07-08-2020-018	X002KX6RHV	047054208X	Workshop Statistics: Discovery with Data	Used	129203	gl_book	4	4	0	4	0	0	0	0	0	0	0	0	0	0	Infinite	Infinite	Infinite	Infinite	Infinite	2	15	USD	109.99	109.99	76.29	50.29	76.22	50.31	0	0		0.00	0.06375	N	0	0	0	0	0.00
